,roomid,dust,temperature,humidity,co2
0,1A,44.2,27.29,69.2,548.96
1,1A,44.2,27.24,69.83,548.96
2,1A,44.2,27.24,69.6,548.96
3,1A,44.2,27.19,69.56,548.96
4,1A,44.2,27.2,69.37,548.96
5,1A,44.2,27.27,69.43,548.96
6,1A,44.2,27.26,69.49,548.96
7,1A,44.2,27.25,69.9,548.96
8,1A,44.2,27.22,69.54,548.96
9,1A,44.2,27.19,69.58,548.96
10,1A,44.2,27.2,69.6,548.96
11,1A,44.2,27.27,69.54,548.96
12,1A,44.2,27.19,69.72,548.96
13,1A,44.2,27.27,69.49,548.96
14,1A,44.2,27.26,69.92,548.96
15,1A,44.2,27.28,69.24,548.96
16,1A,44.2,27.27,69.66,548.96
17,1A,44.2,27.23,69.33,548.96
18,1A,44.2,27.2,69.73,548.96
19,1A,44.2,27.29,69.81,548.96
20,1A,44.2,27.2,69.51,548.96
21,1A,44.2,27.23,69.92,548.96
22,1A,44.2,27.22,69.58,548.96
23,1A,44.2,27.2,69.82,548.96
24,1A,44.2,27.19,69.74,548.96
25,1A,44.2,27.25,69.84,548.96
26,1A,44.2,27.23,69.26,548.96
27,1A,44.2,27.25,69.76,548.96
28,1A,44.2,27.25,70.01,548.96
29,1A,44.2,27.18,69.94,548.96
30,1A,44.2,27.28,69.91,548.96
31,1B,44.2,26.29,71.2,548.96
32,1B,44.2,26.28,71.28,548.96
33,1B,44.2,26.28,71.27,548.96
34,1B,44.2,26.29,71.3,548.96
35,1B,44.2,26.29,71.48,548.96
36,1B,44.2,26.28,71.32,548.96
37,1B,44.2,26.28,71.13,548.96
38,1B,44.2,26.28,71.44,548.96
39,1B,44.2,26.29,71.55,548.96
40,1B,44.2,26.28,71.28,548.96
41,1B,44.2,26.3,71.77,548.96
42,1B,44.2,26.3,71.36,548.96
43,1B,44.2,26.29,71.27,548.96
44,1B,44.2,26.28,71.33,548.96
45,1B,44.2,26.28,71.55,548.96
46,1B,44.2,26.27,71.41,548.96
47,1B,44.2,26.3,71.41,548.96
48,1B,44.2,26.3,71.81,548.96
49,1B,44.2,26.27,71.48,548.96
50,1B,44.2,26.31,71.75,548.96
51,1B,44.2,26.3,71.18,548.96
52,1B,44.2,26.27,71.72,548.96
53,1B,44.2,26.27,71.62,548.96
54,1B,44.2,26.28,71.13,548.96
55,1B,44.2,26.28,71.69,548.96
56,1B,0.0,26.29,71.34,0.0
57,1B,0.0,26.27,71.02,0.0
58,1B,0.0,26.31,71.28,0.0
59,1B,44.2,26.3,71.07,548.96
60,1B,0.0,26.29,71.58,0.0
61,1B,0.0,26.27,71.84,0.0
62,1C,44.2,26.28,73.34,548.96
63,1C,44.2,26.14,73.91,548.96
64,1C,44.2,26.2,73.82,548.96
65,1C,44.2,26.32,73.37,548.96
66,1C,44.2,26.45,73.07,548.96
67,1C,44.2,26.48,72.5,548.96
68,1C,44.2,26.39,73.03,548.96
69,1C,44.2,26.26,72.99,548.96
70,1C,44.2,26.16,73.6,548.96
71,1C,44.2,26.2,73.19,548.96
72,1C,44.2,26.28,72.76,548.96
73,1C,44.2,26.25,72.68,548.96
74,1C,44.2,26.48,73.79,548.96
75,1C,44.2,26.36,73.4,548.96
76,1C,44.2,26.3,72.79,548.96
77,1C,44.2,26.19,73.45,548.96
78,1C,44.2,26.32,73.19,548.96
79,1C,44.2,26.39,72.84,548.96
80,1C,44.2,26.39,73.15,548.96
81,1C,44.2,26.21,73.53,548.96
82,1C,44.2,26.21,73.13,548.96
83,1C,44.2,26.44,73.45,548.96
84,1C,44.2,26.34,73.7,548.96
85,1C,44.2,26.35,73.73,548.96
86,1C,44.2,26.28,73.49,548.96
87,1C,44.2,26.26,73.72,548.96
88,1C,44.2,26.28,73.4,548.96
89,1C,44.2,26.22,72.82,548.96
90,1C,44.2,26.44,73.33,548.96
91,1C,44.2,26.18,73.76,548.96
92,1C,44.2,26.33,73.17,548.96
93,202,37.0,21.622512,75.79806500000001,637.0
94,202,37.0,21.740488,75.759918,634.0
95,202,36.0,21.697588,75.492889,653.0
96,202,40.0,21.525986,74.943573,617.0
97,202,41.0,21.525986,74.47818000000001,611.0
98,202,40.0,21.536710999999997,75.408966,611.0
99,202,37.0,21.719038,76.019318,616.0
100,202,38.0,21.558162,75.744659,612.0
101,202,38.0,21.558162,75.85147099999999,620.0
102,202,37.0,21.740488,75.836212,622.0
103,202,37.0,21.729763000000002,75.744659,625.0
104,202,39.0,21.558162,75.92776500000001,619.0
105,202,39.0,21.547437,75.500519,619.0
106,202,41.0,21.536710999999997,74.78335600000001,612.0
107,202,36.0,21.708313,75.65310699999999,622.0
108,202,40.0,21.536710999999997,75.431854,602.0
109,202,36.0,21.729763000000002,76.034576,636.0
110,202,40.0,21.536710999999997,75.553925,616.0
111,202,36.0,21.654688,75.645477,640.0
112,202,36.0,21.601062,75.836212,637.0
113,202,40.0,21.536710999999997,75.622589,612.0
114,202,37.0,21.633237,75.73703,641.0
115,202,40.0,21.525986,74.638397,618.0
116,202,36.0,21.590336999999998,75.805695,632.0
117,202,39.0,21.525986,75.012238,633.0
118,202,40.0,21.515261,74.539215,621.0
119,202,37.0,21.676138,75.546295,648.0
120,202,38.0,21.547437,75.759918,616.0
121,202,39.0,21.536710999999997,75.157196,623.0
122,202,38.0,21.729763000000002,75.73703,637.0
123,202,37.0,21.579612,75.889618,629.0
124,203,56.0,21.086257,77.03402700000001,631.0
125,203,50.0,21.182782999999997,76.103241,691.0
126,203,53.0,21.075532,76.881439,623.0
127,203,57.0,20.81813,77.323944,609.0
128,203,58.0,21.054082,76.766998,628.0
129,203,64.0,20.839579999999998,75.698883,631.0
130,203,49.0,21.129158,76.087982,705.0
131,203,63.0,20.828854999999997,76.61440999999999,626.0
132,203,65.0,20.86103,76.599152,631.0
133,203,48.0,21.161333,75.9888,718.0
134,203,67.0,20.871755,75.86673,639.0
135,203,63.0,20.871755,76.248199,627.0
136,203,49.0,21.150608,76.034576,705.0
137,203,51.0,21.021907000000002,76.400787,692.0
138,203,51.0,21.054082,76.766998,631.0
139,203,64.0,20.828854999999997,75.84384200000001,624.0
140,203,53.0,21.000457,76.583893,693.0
141,203,57.0,20.882479999999997,77.041656,642.0
142,203,49.0,21.075532,76.309235,697.0
143,203,61.0,20.871755,76.660187,636.0
144,203,58.0,20.914656,76.576263,654.0
145,203,61.0,20.871755,75.973541,642.0
146,203,63.0,20.871755,76.286346,629.0
147,203,54.0,21.021907000000002,76.927216,612.0
148,203,61.0,20.839579999999998,76.210052,619.0
149,203,63.0,20.850305,76.705963,621.0
150,203,55.0,20.882479999999997,76.858551,613.0
151,203,55.0,20.946831,76.812775,661.0
152,203,68.0,20.807405,75.729401,620.0
153,203,52.0,21.086257,76.88906899999999,647.0
154,203,51.0,21.086257,76.202423,694.0
155,204,54.0,20.893206,77.697784,623.0
156,204,57.0,20.882479999999997,77.514679,622.0
157,204,54.0,20.979006,77.62912,643.0
158,204,53.0,20.936106,77.690155,633.0
159,204,61.0,20.871755,76.87380999999999,624.0
160,204,52.0,21.032632,77.86563100000001,646.0
161,204,58.0,20.871755,77.240021,631.0
162,204,55.0,20.882479999999997,77.53756700000001,629.0
163,204,58.0,20.882479999999997,77.484161,616.0
164,204,54.0,21.011182,77.781708,637.0
165,204,53.0,20.925380999999998,77.720673,637.0
166,204,58.0,20.871755,76.942474,621.0
167,204,54.0,21.011182,77.713043,643.0
168,204,54.0,20.968281,77.67489599999999,641.0
169,204,53.0,20.946831,77.705414,643.0
170,204,55.0,21.021907000000002,77.858002,630.0
171,204,58.0,20.871755,77.03402700000001,628.0
172,204,55.0,20.903931,77.743561,625.0
173,204,53.0,20.925380999999998,77.728302,636.0
174,204,60.0,20.871755,77.21713299999999,610.0
175,204,61.0,20.871755,77.16372700000001,608.0
176,204,55.0,20.893206,77.62149000000001,627.0
177,204,55.0,21.021907000000002,77.79696700000001,632.0
178,204,59.0,20.86103,76.75936899999999,612.0
179,204,56.0,20.893206,77.613861,636.0
180,204,56.0,21.011182,77.781708,630.0
181,204,58.0,20.86103,76.690704,609.0
182,204,53.0,21.021907000000002,77.812225,638.0
183,204,51.0,20.989731,77.613861,653.0
184,204,57.0,20.871755,77.37735,609.0
185,204,60.0,20.86103,76.667816,603.0
186,205,38.0,22.148042,71.30435200000001,776.0
187,205,42.0,22.040791,70.358307,672.0
